duplicate_group_id,journey_id,touchpoint_position,num_duplicate_records,records_examined,record_retained,reason_retained,conflicting_fields,status
68,JRN-CUST-02392,5,2,TP-0007646;TP-0007647,TP-0007646,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
69,JRN-CUST-02422,3,2,TP-0007743;TP-0007744,TP-0007743,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
70,JRN-CUST-02493,5,2,TP-0007964;TP-0007965,TP-0007964,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
71,JRN-CUST-02509,2,2,TP-0008019;TP-0008020,TP-0008019,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
72,JRN-CUST-02529,1,2,TP-0008086;TP-0008087,TP-0008086,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
73,JRN-CUST-02549,3,2,TP-0008165;TP-0008166,TP-0008165,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
74,JRN-CUST-02579,1,2,TP-0008268;TP-0008269,TP-0008268,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
75,JRN-CUST-02607,3,2,TP-0008361;TP-0008362,TP-0008361,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
76,JRN-CUST-02631,5,2,TP-0008438;TP-0008439,TP-0008438,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
77,JRN-CUST-02661,1,2,TP-0008528;TP-0008529,TP-0008528,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
78,JRN-CUST-02700,6,2,TP-0008647;TP-0008648,TP-0008647,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
79,JRN-CUST-02747,2,2,TP-0008811;TP-0008812,TP-0008811,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
80,JRN-CUST-02787,5,2,TP-0008941;TP-0008942,TP-0008941,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
81,JRN-CUST-02799,3,2,TP-0008982;TP-0008983,TP-0008982,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
82,JRN-CUST-02825,2,2,TP-0009083;TP-0009084,TP-0009083,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
83,JRN-CUST-02856,2,2,TP-0009176;TP-0009177,TP-0009176,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
84,JRN-CUST-03023,1,2,TP-0009719;TP-0009720,TP-0009719,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
85,JRN-CUST-03054,5,2,TP-0009827;TP-0009828,TP-0009827,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
86,JRN-CUST-03075,2,2,TP-0009890;TP-0009891,TP-0009890,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
87,JRN-CUST-03102,1,2,TP-0009979;TP-0009980,TP-0009979,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
88,JRN-CUST-03111,4,2,TP-0010008;TP-0010009,TP-0010008,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
89,JRN-CUST-03175,2,2,TP-0010209;TP-0010210,TP-0010209,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
90,JRN-CUST-03196,7,2,TP-0010282;TP-0010283,TP-0010282,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
91,JRN-CUST-03228,1,2,TP-0010383;TP-0010384,TP-0010383,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
92,JRN-CUST-03236,3,2,TP-0010408;TP-0010409,TP-0010408,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
93,JRN-CUST-03277,1,2,TP-0010557;TP-0010558,TP-0010557,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
94,JRN-CUST-03314,3,2,TP-0010675;TP-0010676,TP-0010675,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
95,JRN-CUST-03330,1,2,TP-0010732;TP-0010733,TP-0010732,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
96,JRN-CUST-03337,2,2,TP-0010763;TP-0010764,TP-0010763,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
97,JRN-CUST-03343,2,2,TP-0010782;TP-0010783,TP-0010782,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
98,JRN-CUST-03369,1,2,TP-0010871;TP-0010872,TP-0010871,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
99,JRN-CUST-03378,4,2,TP-0010898;TP-0010899,TP-0010898,"All copies flagged is_duplicate_flag=1 (tracking pixel double-fire, no unflagged copy to prefer). All copies are substantively identical (same channel, category, campaign, conversion status, revenue) -- differ only in touchpoint_id/session_id/timestamp. Retained the record with the lowest touchpoint_id as the deterministic, documented canonical copy; no information is lost by this choice since the discarded copy carries identical substantive data.",,RESOLVED_IDENTICAL
